,std,no_Local,no_local_std,random,ias
5,,,0.0023999572254953102,0.0023999572254953107,0.0024133764458763762
6,,,0.002005946882696523,0.0020963443374816147,0.002386391979953454
7,,,0.0019096546279993671,0.0016653848789233991,0.0024095223396956977
8,,,0.00159782851780161,0.001480182989671328,0.002423926944325292
9,,,0.001416406722767209,0.00144316524639165,0.002436910964236547
10,,,0.0014875151476575357,0.0014018927790736056,0.0024447031739108223
11,,,0.0013903390158708044,0.0013211253949556422,0.002437598196455878
12,,,0.0013155833886031854,0.0012936212389330936,0.002428218547637699
13,,,0.0011665097292887377,0.001185182245954586,0.0024550744882721022
14,,,0.0011003803233700126,0.001188028205904042,0.0024632449623674677
15,,,0.0010422057251254094,0.0011514029835997571,0.0024627270579744326
16,,,0.0010531965502697208,0.0011305387536202337,0.0024722970908397876
17,,,0.0010148591887944392,0.0011310602147949864,0.0024735156929820033
18,,,0.0009931901454776338,0.0010602485488078928,0.0024544184550451117
19,,,0.0009937700818474235,0.0010440338678301855,0.0024588415052297303
20,,,0.0009704015991652958,0.0010062179513249498,0.002469721786641892
21,,,0.0009307586348724817,0.0009791624706270163,0.002468612071155499
22,,,0.0009540148121009565,0.0009664155766979976,0.0024698831145156816
23,,,0.0009481143872130706,0.0009667276863174525,0.0024723339601804913
24,,,0.0009311535718387064,0.0009553502985487269,0.0024714616501276053
25,,,0.0009057490191777687,0.0009463294108935133,0.0024597730026078243
