,std,no_Local,no_local_std,random,ias
5,,,0.002763614250267741,0.002763614250267741,0.002755121801931182
6,,,0.0024812254716794356,0.0019416928781313197,0.0027106240279717187
7,,,0.0022368422011290025,0.001752185110613486,0.0027697874919262906
8,,,0.0017935139974567147,0.0015447973380875704,0.0027414479087127888
9,,,0.0015339360642845769,0.0013500203991424877,0.00278714034433303
10,,,0.0013318820233576987,0.0012267804362342508,0.002722736180570315
11,,,0.0012072556867793194,0.0011483996150077407,0.002732654015957175
12,,,0.0010790116402313937,0.0010218740493910692,0.002709002928524625
13,,,0.0010020898068327717,0.000984561135314599,0.002737171423571746
14,,,0.0008823077829106096,0.0009570092462910405,0.0027569338433915394
15,,,0.0008725929473128169,0.000991670870193,0.0027530170488897932
16,,,0.000855862654443801,0.0008968011626265609,0.0027683503097804285
17,,,0.0007742428347621309,0.0008410531532636343,0.002767638002259931
18,,,0.0007559321066359247,0.0007615155722087245,0.0027443811629983086
19,,,0.0006962088609764286,0.0007268244113414459,0.002606833144649993
20,,,0.0006755699410106556,0.0006891665794443406,0.0023728016752887606
21,,,0.000630077817935846,0.0006757841171740762,0.002291008035899813
22,,,0.0006048782326600857,0.0006215541857633866,0.0022363137620856816
23,,,0.0006001562078606133,0.0006316562075903101,0.0020920641935945903
24,,,0.0005824444218977604,0.0006249289882094452,0.0019422351289933725
25,,,0.0005719803672017574,0.0005936998687862538,0.0018492858251555877
